incidentdate,estimatedquantity,latitude,longitude
11/11/2024,10,5.8915583,5.6929611
11/6/2024,6,5.6477778,6.0805556
10/14/2024,10,5.6477778,6.0805556
11/25/2024,0.031,5.8166667,5.6649444
12/26/2024,0.8,5.5801667,5.6726111
11/12/2024,0.02,5.8473333,5.6941667
7/17/2024,2,5.6235333,5.1820306
6/18/2024,1,5.78158,5.7071133
4/28/2024,3,5.8139167,5.6935278
1/16/2025,0.92887,11.344972,7.987417
1/21/2025,30,5.5086389,5.4766389
12/21/2024,15,4.6038889,6.3349167
12/20/2024,60,4.6057222,6.3568611
12/19/2024,0.12,4.4997222,6.0684444
11/23/2024,3900,4.447331,7.192478
11/25/2024,0.00013,4.2588994,8.1849964
11/24/2024,140,4.5248889,6.0107222
1/9/2025,20,5.5088056,5.4765917
2/1/2025,0.33,6.0795,5.6865556
12/21/2024,15,4.6038889,6.3349167
12/13/2024,0.07,525034,6352.5
12/9/2024,10,4.6146667,5.9505278
12/8/2024,1100,4.172964,7.228945
11/23/2024,1.4,5.13475,6.5739722
11/20/2024,10,4.46162,7.186
11/19/2024,3,5.0501111,6.5475833
11/15/2024,1.4,5.1323056,6.5738056
11/14/2024,0.3,5.45452,6.76463
11/12/2024,0.001,5.4899444,6.7541667
11/12/2024,5,4.83975,5.953
9/17/2024,0.00224,4.5438889,8.0180556
9/12/2024,0.000002,4.3744444,7.6258333
9/4/2024,0.5,4.84081921,7.11891162
9/4/2024,7,4.6989444,5.9673611
6/14/2024,5,4.48125,6.1001111
6/5/2024,6,4.6760278,5.9609722
5/17/2024,18,4.7594167,5.9774722
3/15/2024,0.005,4.9844389,7.1291389
3/15/2024,0.7,4.984835,7.1344333
8/20/2024,10,6.0092222,5.4188611
11/6/2024,1,5.6675692,5.1407394
11/6/2024,0.19,5.57388,5.3026008
8/7/2024,0.006,5.5904111,5.2395972
10/10/2024,0.00396,4.3172222,8.3016667
10/18/2024,10,4.45361,7.18124
6/18/2024,0.2,4.460979,7.186575
11/3/2024,0.01415,5.0058333,4.0055556
6/2/2024,1.2,5.6542667,6.3314722
6/5/2024,25,5.01034,5.537444
7/4/2024,2,4.6366944,6.3876667
11/11/2024,0.031,5.8976667,5.5825556
9/24/2024,2,5.61353,6.75855
6/24/2024,28,5.3833889,6.65275
5/8/2024,80,4.92792,6.43455
5/28/2024,0.7233,4.7637778,6.0838889
8/26/2024,5,4.7256667,5.9725
10/24/2024,4,4.7266944,5.9727222
3/25/2024,5.33,4.6285833,6.2225278
3/26/2024,0.13,4.8925,7.1213889
3/23/2024,0.2,4.6285,6.2153611
3/23/2024,0.19,4.7549444,5.9766111
10/15/2024,21,5.10463889,6.52072222
10/14/2024,21,N05'06'16.7',E006 31'14.6'
9/2/2024,5,4.6604444,5.9591111
8/31/2024,0.3,4.6689444,5.9604444
8/24/2024,0.314,4.7799722,5.9792778
8/21/2024,15,4.72675,5.9727778
8/21/2024,56,4.8440222,7.080665
8/19/2024,23.01,5.16775,6.5895
8/19/2024,4,5.1947222,6.5894722
8/18/2024,12,4.7266944,5.9726944
8/17/2024,0.094,4.7934167,5.9720278
8/17/2024,95,4.4568056,6.4178056
8/8/2024,11,4.93799,6.49924
8/8/2024,1,4.95545,6.78029
11/11/2024,6.22,5.0535786,6.5490067
10/24/2024,512,4.825746,6.153884
10/23/2024,154,5.04314422,6.59083951
10/22/2024,2.21,5.105,6.5223056
10/21/2024,229,4.7681,7.149794
10/15/2024,10,5.048937,6.58526
10/7/2024,175.63,76061.37,506319.85
10/3/2024,8,5.46849,6.75859
9/25/2024,0.25,4.7608056,5.97775
9/24/2024,11,4.4746944,6.1224167
9/24/2024,3,4.4695556,6.1429167
9/3/2024,0.1,4.978663,6.697096
8/29/2024,1,4.69587,7.252126
8/28/2024,10,4.6760278,5.9609722
8/28/2024,11,5.0237028,6.6224222
8/27/2024,6,4.7063889,5.9686111
8/27/2024,670,4.879173,7.042324
8/14/2024,3,4.95354986,6.83913802
